Guest_ID,Name,Frequent_Traveler,Date_Birth,Type,Flight_Class,Points,Room,Check-in/Check-out,F&B,Location,Wifi,Entertainment,Gym,Spa,Staff,Pool,Baggage_Handling,Reception,Cleanliness,Online_Booking,Deposit_Kept,Time_Room_Service,Repeater
18888,Mr. Simon Butler,1," September 27, 1988",Personal Travel,Eco,1962,3,1,3,3,3,3,3,3,2,2,2,4,2,3,3,0,0
15307,Mr. Benjamin Hardacre,0," June 23, 1996",Business travel,Eco,2005,3,0,3,3,4,3,4,4,2,3,2,5,4,4,0,0,0
11155,Mrs. Jennifer Hemmings,1," May 17, 1985",Business travel,Business,63,0,4,0,4,4,4,5,4,4,4,4,3,4,3,0,0.2,1
20684,Mr. Isaac Anderson,1," April 18, 1968",Business travel,Business,1407,1,2,2,2,4,4,3,1,1,1,1,4,1,3,0,0.9,0
11092,Mrs. Anne Parr,1," February 9, 1979",Business travel,Business,1563,4,4,4,4,4,5,5,5,5,5,5,5,5,4,8,1.9,1
22323,Miss Virginia North,0," August 3, 1990",Business travel,Business,2968,2,2,2,2,3,2,3,3,4,5,5,3,5,3,0,0,0
20778,Miss Grace Russell,1," April 18, 2003",Personal Travel,Eco,1203,5,0,0,1,4,4,4,2,2,0,2,3,2,5,26,3.6,1
16488,Mr. Owen Rutherford,1," February 10, 1954",Personal Travel,Eco,1608,4,4,4,3,5,4,5,5,4,3,5,5,4,5,0,0,0
15992,Miss Fiona Vaughan,1," March 9, 2000",Personal Travel,Eco,2360,5,5,5,1,4,5,3,4,5,5,4,4,4,4,0,0,1
22883,Mr. Jacob Rampling,1," January 16, 1974",Business travel,Business,1649,5,5,5,5,2,3,2,4,4,4,4,5,4,5,0,0,1
16056,Mrs. Molly Quinn,1," April 12, 1991",Personal Travel,Eco,1187,4,4,4,4,3,4,3,3,1,1,3,1,2,3,0,0,0
16733,Miss Elizabeth Dickens,1," September 4, 1982",Business travel,Business,639,2,2,2,2,4,3,2,2,2,2,2,2,2,2,26,3.3,0
11749,Miss Sue Glover,1," September 26, 1997",Business travel,Business,1139,4,4,4,4,4,4,4,4,3,5,4,5,5,4,0,0.1,1
21762,Mrs. Sonia Mills,1," April 29, 1977",Personal Travel,Business,511,4,4,4,4,2,5,4,4,4,4,4,5,4,4,7,0.5,1
20531,Mr. Lucas Graham,0," March 12, 1998",Business travel,Eco,1959,5,0,5,4,1,5,1,1,5,5,4,4,4,1,27,4.4,1
17899,Mrs. Sally Paterson,1," June 28, 1998",Business travel,Eco Plus,2197,2,1,2,1,2,2,3,2,1,1,4,2,4,2,20,2.1,0
19797,Mr. Cameron Davies,1," June 29, 1963",Business travel,Eco,1806,3,4,4,4,3,3,3,3,2,4,3,4,4,3,31,3.3,0
13310,Mr. Julian Black,1," July 27, 1982",Business travel,Business,1121,1,1,1,1,5,4,4,4,4,4,4,5,4,5,23,1.4,1
16006,Mrs. Amanda Ferguson,1," February 19, 1964",Business travel,Business,3925,2,4,2,2,5,4,4,4,4,4,4,3,4,4,0,0.4,1
11407,Mr. Harry Scott,0," October 8, 1983",Business travel,Eco,1904,1,3,0,3,5,0,5,5,1,4,3,4,3,5,0,0.9,0
22378,Mrs. Maria Russell,1," July 7, 1993",Personal Travel,Eco,3126,5,5,5,5,4,5,4,4,4,4,4,5,4,5,51,4.3,1
14212,Mrs. Jasmine Bell,1," January 26, 1977",Personal Travel,Eco,1760,5,5,5,5,3,5,4,5,5,5,5,5,5,4,0,0,1
17714,Mr. Edward Carr,1," September 21, 2007",Personal Travel,Business,1357,3,3,3,2,2,3,1,2,4,3,4,3,3,2,0,0,0
22723,Mr. Christopher Campbell,1," July 15, 1989",Business travel,Business,4205,4,4,2,4,5,5,5,5,4,1,1,1,3,5,0,0,1
21054,Mr. Dylan Fisher,1," July 19, 1980",Business travel,Business,1527,1,1,1,1,2,4,4,5,5,5,5,4,5,5,0,0,1
11751,Mrs. Lauren Edmunds,1," March 28, 1976",Business travel,Business,2400,1,1,1,1,3,4,4,5,5,5,5,5,5,4,13,1,1
13749,Mr. Boris Hardacre,1," February 3, 1963",Business travel,Business,428,2,2,2,2,4,4,5,5,5,5,5,4,5,3,0,0,1
20399,Miss Ella Robertson,1," September 24, 2002",Business travel,Business,1736,1,1,1,1,1,1,1,1,3,5,2,4,3,1,0,0,0
22703,Miss Pippa Carr,1," May 29, 2004",Personal Travel,Eco,3745,3,1,3,2,3,5,2,1,3,1,3,2,2,2,139,14.2,0
16941,Mrs. Sonia Campbell,1," January 16, 1972",Business travel,Eco,727,1,3,3,3,3,3,3,1,1,1,1,2,1,3,0,0,0
18336,Mr. Michael Dyer,1," February 10, 1977",Business travel,Business,430,4,4,4,4,4,4,4,4,4,4,4,5,4,3,100,9.6,1
12179,Mr. Peter Burgess,1," February 13, 1985",Business travel,Business,2624,4,4,4,4,5,5,5,3,5,5,4,5,5,5,156,20,1
12538,Mrs. Hannah McDonald,1," September 8, 1972",Personal Travel,Eco,588,5,5,5,5,4,3,5,3,3,4,3,3,3,5,16,0.5,1
16690,Miss Jennifer Martin,1," April 13, 1986",Business travel,Business,96,2,3,3,3,3,3,2,3,3,3,2,4,3,4,0,0,0
19846,Mrs. Victoria Campbell,1," June 19, 1965",Business travel,Eco,489,3,2,2,2,1,3,4,3,3,3,3,1,3,4,9,0.6,0
17667,Miss Abigail Jones,1," July 24, 2010",Personal Travel,Eco,1802,4,2,4,3,5,4,5,5,1,3,4,4,4,5,4,0,0
21229,Miss Wendy MacLeod,1," March 23, 1997",Business travel,Business,4366,3,3,3,3,4,4,4,4,1,2,4,1,4,4,7,0,1
22739,Mr. Lucas Terry,1," February 27, 1986",Business travel,Business,506,1,1,1,1,4,2,2,3,3,3,3,4,3,1,37,4.5,1
12601,Mrs. Caroline Tucker,1," March 21, 1969",Business travel,Eco,1264,4,3,3,3,1,2,3,4,4,4,4,1,4,2,31,3.7,0
11494,Mr. Colin Smith,1," June 18, 1978",Business travel,Business,451,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0.2,1
13727,Mr. Blake Chapman,1," July 22, 1980",Business travel,Eco Plus,1399,5,4,4,4,5,5,5,5,2,5,4,3,4,5,2,0,1
16346,Miss Faith Taylor,0," July 27, 1999",Business travel,Eco,1465,4,5,4,4,3,4,3,3,4,5,4,4,5,3,0,0,0
10306,Mr. Edward Rampling,1," September 23, 1967",Business travel,Business,655,1,1,1,1,4,5,5,5,5,5,5,3,5,5,12,0.8,1
15962,Mrs. Andrea Brown,1," September 9, 1992",Business travel,Business,3276,1,1,1,1,2,2,2,2,3,4,4,5,4,2,21,0.1,1
20132,Miss Caroline MacDonald,1," September 13, 2004",Personal Travel,Business,1649,3,3,3,3,5,5,5,5,4,3,4,4,5,5,50,4.3,1
14626,Mr. Lucas MacLeod,1," June 30, 1972",Personal Travel,Eco,2154,2,5,2,3,2,2,2,2,3,3,5,5,2,2,17,0.8,0
12340,Mr. Colin Rampling,1," April 21, 1981",Business travel,Business,1031,4,4,4,4,2,5,4,4,4,4,4,4,4,4,5,0,1
22927,Mr. Leonard Harris,1," April 8, 1999",Personal Travel,Eco,3334,1,5,1,3,1,2,3,3,4,4,5,3,2,3,26,1.7,0
22245,Mr. Isaac Parsons,1," January 12, 1961",Personal Travel,Eco,1498,3,1,2,3,1,2,1,1,1,4,4,2,3,1,0,0,0
11765,Mrs. Ruth Bond,1," April 1, 1983",Personal Travel,Business,348,4,5,4,1,5,4,3,3,3,4,3,3,3,4,105,10.2,0
15812,Mrs. Sue Turner,1," June 15, 1967",Personal Travel,Eco Plus,415,1,1,1,1,2,5,4,5,5,5,5,5,5,3,0,0,1
10338,Miss Rose Graham,1," July 19, 2000",Personal Travel,Business,1960,4,4,2,4,3,5,4,2,2,2,2,3,2,4,0,0,1
18050,Mr. Keith Miller,1," May 6, 1963",Business travel,Business,721,3,3,3,3,4,5,5,5,5,5,5,4,5,5,0,0.4,1
15613,Mrs. Lily Quinn,1," January 9, 1970",Business travel,Eco,1875,3,3,2,3,3,3,3,4,3,3,3,3,4,3,152,16,0
15709,Mrs. Natalie Henderson,1," January 12, 1975",Business travel,Eco,1252,2,3,3,3,4,5,2,2,2,2,2,2,2,1,0,0,1
21952,Mr. Simon Morrison,1," February 16, 1975",Business travel,Business,2459,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,1.4,1
21350,Mrs. Una Robertson,1," February 18, 1966",Business travel,Eco Plus,409,2,2,2,2,1,4,4,2,2,2,2,1,2,4,17,1.7,0
11601,Miss Natalie Edmunds,1," October 8, 1998",Personal Travel,Eco,1475,1,1,1,1,2,5,5,3,3,4,3,3,3,5,0,0,1
19085,Mrs. Kylie North,1," June 3, 1972",Business travel,Business,88,0,4,0,3,4,4,4,3,3,3,3,5,3,4,0,0,1
11498,Mrs. Carolyn Underwood,1," July 31, 1988",Personal Travel,Eco,1711,5,5,5,2,4,4,2,1,1,5,1,3,1,3,15,3.3,1
15666,Miss Heather Morrison,0," September 25, 2001",Business travel,Eco,2770,1,0,0,3,1,0,1,1,4,5,3,3,3,1,0,0,0
11037,Mr. Thomas Howard,1," September 12, 1977",Business travel,Eco,1263,1,4,4,4,1,1,1,1,1,2,4,3,3,1,0,0,0
11098,Mr. Lucas Short,1," March 9, 1966",Business travel,Business,1428,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0
15688,Mrs. Pippa Clarkson,1," March 2, 1994",Personal Travel,Eco,1836,3,3,3,3,2,5,4,5,5,5,5,3,5,4,0,0,1
15727,Mrs. Jane Campbell,1," April 14, 1971",Business travel,Business,717,2,2,2,2,3,4,4,4,4,4,4,4,4,3,5,2,1
11477,Mrs. Yvonne May,1," June 25, 1976",Business travel,Business,2945,3,3,5,3,2,5,4,5,5,5,5,5,5,5,0,0,1
18374,Mrs. Lillian Morgan,1," April 4, 1983",Business travel,Business,2346,4,2,2,2,4,3,3,1,1,1,4,3,1,4,62,5.6,0
18532,Mrs. Sue Quinn,0," March 16, 1982",Business travel,Business,1096,2,3,3,1,3,3,3,3,2,2,2,5,4,3,0,0,0
18091,Mrs. Carolyn Campbell,1," September 8, 1987",Business travel,Business,1213,3,2,2,2,4,3,4,3,3,3,3,4,3,1,11,0,0
20265,Mrs. Chloe Graham,1," January 29, 1979",Business travel,Business,2174,3,3,2,3,2,3,4,3,3,4,3,1,3,2,0,0,0
10902,Mrs. Emma MacDonald,1," February 19, 1970",Personal Travel,Eco,56,3,3,3,3,5,5,5,5,1,4,2,2,4,5,0,0,1
18243,Mr. Jack Oliver,1," May 17, 1976",Business travel,Business,1646,2,2,5,2,2,5,4,5,5,5,5,4,5,5,0,0,1
13570,Mr. Connor Jones,1," February 19, 1974",Business travel,Business,3323,1,2,1,1,5,5,4,4,4,3,4,3,4,4,0,0,1
14875,Mr. Blake Wallace,1," June 17, 1975",Business travel,Eco,3477,2,1,1,1,2,2,2,2,2,3,2,1,4,2,0,0,0
17991,Mrs. Caroline McDonald,1," February 21, 1981",Business travel,Business,77,1,4,4,4,2,4,4,2,2,2,1,1,2,3,18,4.5,0
13293,Mr. Sebastian Mackay,0," May 12, 1991",Business travel,Business,1873,1,1,1,5,2,1,5,2,4,4,4,3,5,2,35,2.5,0
15839,Mr. Oliver Watson,1," August 31, 1959",Personal Travel,Eco,4747,1,4,1,4,1,5,5,5,2,4,5,5,4,5,19,3.1,0
15681,Mrs. Deirdre Quinn,1," February 21, 1990",Business travel,Business,5191,2,2,2,2,5,5,5,5,4,2,3,3,4,5,0,0,1
11846,Mrs. Victoria Mackenzie,1," March 30, 1966",Business travel,Business,351,5,5,5,5,2,4,5,5,5,5,5,5,5,4,0,0,1
13566,Mr. Dan Turner,1,,Business travel,Business,3235,1,1,1,1,1,1,1,1,3,2,3,3,4,1,22,2.7,0
18629,Mrs. Ruth Nash,1," February 17, 1956",Personal Travel,Eco Plus,873,1,1,1,1,5,3,4,5,5,5,5,4,5,3,0,0,1
19256,Mr. Gavin Ince,1," October 8, 1962",Personal Travel,Eco Plus,1980,3,1,3,3,2,3,2,2,1,1,4,3,4,2,66,8.2,0
19942,Mr. Sebastian Brown,1,,Business travel,Business,2178,2,1,2,2,1,2,1,1,3,2,4,4,4,1,0,0.1,1
22561,Mrs. Zoe Lyman,1," March 11, 1976",Personal Travel,Eco,440,0,4,0,2,3,2,5,4,4,0,4,3,4,4,0,0,1
12011,Mr. Joshua Hodges,1," September 20, 1991",Personal Travel,Eco,2149,1,4,1,4,3,1,3,3,1,1,3,3,1,3,0,0,0
17905,Mrs. Theresa Henderson,1," August 1, 1977",Business travel,Business,551,3,3,3,3,2,5,4,5,5,5,5,3,5,5,15,0,1
16067,Mr. Liam Clarkson,1," July 29, 1987",Business travel,Business,2717,3,5,4,5,1,3,4,3,3,3,3,1,3,3,0,0,0
18349,Miss Grace Davies,1," February 17, 1996",Personal Travel,Eco,1789,3,3,3,3,2,5,5,5,5,5,5,3,5,4,0,0,1
20865,Mrs. Sophie Newman,1," January 27, 1970",Business travel,Business,96,5,5,5,5,2,4,5,5,5,5,4,5,5,5,0,0.4,1
14612,Mr. Piers Hemmings,1," August 18, 1978",Personal Travel,Eco,1986,3,5,3,5,3,3,3,3,1,4,4,2,2,3,3,0,0
20216,Mr. Jacob Payne,1," January 24, 1961",Business travel,Business,97,4,4,4,4,3,5,4,4,4,4,5,3,4,3,0,0,1
21752,Miss Diana Hart,1," January 3, 2009",Personal Travel,Eco,4030,1,5,1,3,1,4,4,3,3,5,4,4,4,4,194,20.5,0
18930,Mr. Stephen Clark,1," March 15, 1998",Business travel,Business,1896,5,5,5,5,5,5,5,5,4,3,4,4,4,5,37,3,1
20895,Mr. Trevor Wilkins,1," August 29, 1960",Business travel,Eco,1824,4,1,1,1,4,4,4,4,3,4,3,2,5,4,16,1.4,1
20357,Mrs. Theresa Bond,0," August 8, 1995",Business travel,Business,1554,2,0,2,4,5,2,5,5,3,3,4,4,5,5,0,0,0
12723,Mrs. Joanne Lambert,1," April 2, 1954",Personal Travel,Eco,555,1,1,1,1,5,5,4,5,5,5,5,3,5,5,86,6.8,1
18219,Mr. Piers Reid,1," May 1, 1991",Business travel,Business,4184,1,1,1,1,5,5,5,5,5,5,1,5,1,5,25,1.8,1
18460,Mr. Frank May,1," June 4, 1963",Business travel,Business,2217,4,4,4,4,2,4,5,5,5,5,5,3,5,3,86,8.1,1
15814,Mr. Warren Payne,1," June 21, 1968",Business travel,Business,3948,1,1,1,1,3,4,5,5,5,5,5,4,5,5,0,0,1
21150,Miss Andrea Edmunds,0," August 9, 1994",Business travel,Business,2233,4,4,4,3,4,4,2,4,1,2,4,3,4,4,26,2.3,0
11079,Mrs. Jasmine Arnold,1," February 21, 1983",Business travel,Eco,2263,4,2,2,2,4,4,4,4,2,2,5,3,2,4,15,0.5,1
20836,Mr. Christian Grant,1," July 12, 1984",Business travel,Eco,1714,4,3,3,3,4,3,4,4,4,5,3,2,4,4,0,0,0
21206,Mrs. Heather Gill,1," July 26, 1964",Personal Travel,Eco,343,5,4,5,3,5,5,5,4,4,5,4,3,4,3,1,0.2,1
22482,Mr. Frank Scott,1," July 1, 1995",Personal Travel,Eco,1927,1,5,1,2,2,1,5,2,2,4,2,2,4,2,0,0,0
13284,Mr. Richard Marshall,1," March 12, 1962",Personal Travel,Eco,1997,5,4,5,4,5,5,4,5,5,3,4,3,5,5,0,0,1
13375,Mr. Benjamin Metcalfe,1," May 28, 1961",Business travel,Business,69,5,5,5,5,5,5,4,4,4,4,5,5,4,5,14,3,1
16475,Mrs. Fiona Buckland,1," June 21, 1982",Business travel,Business,3976,3,3,3,3,2,5,5,5,5,5,5,3,5,3,0,0,1
15084,Mrs. Jane Bower,1," October 3, 2003",Personal Travel,Eco Plus,1091,4,4,4,4,3,5,4,5,5,5,5,3,5,5,0,0,1
22424,Mr. Trevor Pullman,1," October 11, 1975",Business travel,Business,3343,2,4,4,4,2,4,3,2,2,2,2,1,2,3,0,0.5,0
22038,Mr. Owen Allan,1," August 26, 2002",Personal Travel,Eco,1811,1,1,1,4,4,1,1,4,3,1,3,1,3,4,4,0,0
18102,Mr. Adam Glover,1," January 19, 2014",Personal Travel,Eco,1515,2,4,2,3,2,2,2,2,5,5,4,4,5,2,0,0,0
20204,Mrs. Fiona Nash,0," September 27, 1959",Business travel,Eco,1603,3,3,2,2,2,2,2,2,1,5,3,1,3,2,113,10.7,0
19167,Mrs. Yvonne May,1," July 13, 1988",Personal Travel,Eco,2626,3,3,2,2,2,3,3,1,5,4,3,3,1,3,151,15.5,0
12137,Mr. James Gray,1," May 20, 1955",Personal Travel,Eco,921,3,2,3,3,4,3,4,4,1,2,4,1,3,4,0,0.2,0
13825,Mr. Harry Ince,1," June 21, 1992",Personal Travel,Eco Plus,2439,1,5,1,1,2,1,3,2,2,2,3,5,5,2,0,0,0
10742,Mrs. Tracey Dyer,1," January 14, 1973",Business travel,Business,1867,1,1,1,1,4,4,4,2,2,2,2,3,2,4,14,0,1
20645,Mr. Adrian Grant,1," September 7, 1981",Business travel,Business,53,2,2,2,2,3,4,3,4,4,4,5,2,4,5,0,0,1
18383,Mrs. Rachel Howard,1," August 17, 1985",Business travel,Eco,1096,4,3,3,3,4,4,4,4,3,4,4,3,2,4,49,5.8,1
18643,Mrs. Joanne Scott,1," March 11, 1970",Business travel,Business,3579,4,4,4,4,4,4,4,4,4,4,4,3,4,5,0,0.1,1
19062,Mrs. Nicola White,1," September 14, 1972",Business travel,Business,2688,2,2,2,2,4,2,2,4,4,4,4,5,4,5,0,0,1
13896,Mr. Benjamin Randall,1," August 9, 1962",Business travel,Eco,1447,4,3,3,3,3,4,3,3,4,2,2,1,2,3,0,0,1
12485,Mr. Boris Piper,0," August 16, 1976",Business travel,Eco,2133,1,0,1,1,1,2,5,1,2,2,3,5,2,5,156,13.9,0
18446,Mrs. Ruth Blake,1," May 17, 1960",Business travel,Business,3177,4,2,5,2,4,4,4,3,3,3,4,3,3,4,9,0,0
17046,Mrs. Fiona Brown,1," July 21, 1973",Business travel,Business,2718,2,2,2,2,4,5,5,5,5,5,5,4,5,4,36,4,1
21829,Miss Heather Vaughan,0," April 24, 1999",Business travel,Business,1648,3,2,3,3,2,3,2,2,1,1,3,2,3,2,94,7.7,0
18179,Mrs. Tracey Kelly,1," August 19, 1990",Personal Travel,Eco,2051,0,4,0,2,5,0,5,5,3,5,4,4,5,5,0,0,1
10336,Mr. Matt Avery,0," September 2, 1984",Business travel,Eco,1084,4,0,3,2,3,3,3,3,5,4,3,2,5,3,55,5.1,0
19447,Mr. Jack Wallace,1," June 6, 2006",Personal Travel,Eco,1621,0,4,0,3,2,0,4,2,1,4,1,2,2,2,5,0,1
16710,Miss Grace Lewis,1," August 27, 1963",Business travel,Eco,2779,4,4,4,4,4,4,4,5,4,2,3,4,4,4,244,26.1,1
14279,Mr. Dominic Mathis,1," March 29, 1976",Business travel,Business,2593,5,5,5,5,5,4,4,5,5,5,5,3,5,4,48,4.3,1
12998,Mr. Joseph Brown,1," March 26, 1989",Personal Travel,Eco Plus,1367,3,4,3,5,2,3,1,2,4,4,5,2,5,2,0,0.6,0
16222,Mr. Trevor Bower,1," August 1, 1951",Personal Travel,Eco,1743,2,5,2,1,4,2,4,4,3,3,4,3,4,4,0,0,0
21753,Mr. Gavin Robertson,1," May 7, 1975",Business travel,Business,1884,4,4,4,4,3,5,5,4,4,5,4,4,4,5,0,0.8,1
15060,Mr. Christopher Blake,0," March 7, 1999",Business travel,Eco,1320,3,5,3,3,2,3,2,2,5,5,4,5,4,2,0,0.1,0
17962,Mrs. Madeleine Chapman,1," January 23, 1983",Business travel,Business,2837,2,2,5,2,2,5,4,5,5,5,5,3,5,4,13,0,1
22560,Mr. Blake Short,1," July 9, 1968",Business travel,Business,3683,2,1,4,4,3,2,2,2,2,2,2,4,2,2,42,2.5,0
11673,Mrs. Lisa Coleman,1," October 4, 1991",Business travel,Business,3031,3,3,3,3,3,3,3,3,4,4,3,2,4,3,0,0,0
10869,Mr. Evan Knox,1," August 10, 2013",Personal Travel,Eco,2695,2,4,2,4,2,2,5,2,1,2,1,1,1,2,3,3.2,0
12008,Mrs. Bella McDonald,1,,Business travel,Eco,2635,3,1,1,1,3,3,2,3,2,4,3,2,4,3,0,0.2,0
20496,Mr. Cameron Robertson,0," January 4, 1999",Business travel,Eco,1698,2,4,2,3,2,2,3,2,1,1,3,3,3,2,10,0,0
22283,Miss Deirdre White,1," February 8, 2002",Personal Travel,Eco,973,1,1,1,1,3,3,4,5,5,5,5,3,5,4,0,0,1
18144,Mr. Brandon Metcalfe,0," January 21, 1964",Business travel,Business,1631,1,2,2,4,1,1,1,1,3,5,4,5,5,1,0,0,0
19026,Mr. Victor Powell,0," July 16, 1981",Business travel,Business,1423,4,4,4,4,4,4,4,4,5,5,5,4,5,4,0,0,0
16987,Mrs. Faith Bower,1,,Business travel,Business,2761,3,1,1,1,3,3,3,3,4,1,4,3,3,3,0,0,0
15276,Mr. Eric Parr,1," April 24, 1978",Business travel,Business,828,5,5,5,5,2,4,5,3,3,3,3,3,3,4,0,0,1
13105,Mrs. Joan Avery,0," January 2, 1974",Business travel,Eco,1705,1,2,1,1,4,1,4,4,1,5,2,3,2,4,0,0,0
10578,Mrs. Jasmine Grant,1," February 18, 1984",Personal Travel,Eco,1609,4,4,0,4,1,0,2,1,2,1,4,3,4,1,26,0.8,1
19124,Mrs. Abigail Smith,1," August 4, 1995",Business travel,Business,4811,1,4,4,4,1,1,1,1,3,4,3,2,3,1,0,0,0
10061,Mrs. Abigail Coleman,1," March 29, 1962",Business travel,Business,3603,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,1
20959,Mr. Alan Vaughan,1," August 31, 1985",Personal Travel,Eco,1840,1,3,1,1,3,1,4,3,3,5,4,4,1,3,0,0,0
22262,Mr. Piers Alsop,1," March 9, 1990",Business travel,Business,4687,5,5,5,5,5,5,5,5,4,3,5,4,5,5,0,0.3,1
22072,Mr. Alexander Graham,1," April 9, 1976",Business travel,Business,3994,4,4,4,4,2,4,4,4,4,5,4,3,4,4,0,0,1
22431,Mr. Thomas Parsons,1," April 20, 1989",Business travel,Business,3485,4,4,4,4,3,3,3,3,3,2,1,4,1,3,0,0,1
10755,Mr. Steven James,1," June 18, 1977",Business travel,Business,2491,3,3,3,3,5,4,5,2,2,2,2,5,2,3,0,0,1
18694,Miss Katherine Wright,1," January 9, 1996",Business travel,Business,4718,2,3,3,3,2,2,2,2,1,2,2,4,3,2,0,0,0
20770,Mr. Jason Blake,1," July 20, 1975",Personal Travel,Eco,3705,1,3,1,5,5,1,1,5,2,5,3,2,3,5,0,0,0
11791,Mr. Ryan Gill,1," October 1, 1961",Personal Travel,Eco,3692,1,4,1,3,2,1,2,2,5,2,3,5,5,2,0,0,0
11395,Mr. Edward Hunter,0," January 2, 1995",Business travel,Business,2075,1,1,1,3,2,1,2,2,5,2,5,4,5,2,0,0,0
16843,Mrs. Karen Wallace,1," March 1, 1996",Business travel,Eco,2280,5,2,2,2,5,5,3,5,5,4,4,5,4,5,6,0,1
19196,Mr. Ryan Jackson,1," January 10, 1955",Personal Travel,Eco Plus,1447,2,4,2,2,2,2,2,2,3,4,5,4,5,2,0,0,0
17563,Mrs. Sophie Vance,0," August 9, 1984",Business travel,Eco,2351,2,2,2,3,4,2,4,4,2,2,3,3,3,4,27,1.2,0
20582,Miss Rose Langdon,0," January 9, 1999",Business travel,Eco Plus,2783,2,1,2,3,1,2,1,1,4,5,4,2,4,1,0,0,0
13440,Mr. Christian Randall,0," January 11, 1991",Business travel,Eco,1556,2,2,2,4,4,2,4,4,4,5,4,3,4,4,35,2.9,0
18932,Mr. Lucas Glover,1," March 17, 1981",Business travel,Eco,1646,5,3,3,3,5,5,5,5,3,2,5,3,1,5,28,3.8,1
13909,Mrs. Yvonne Dickens,1," January 22, 1974",Business travel,Business,647,5,5,5,5,2,4,4,5,5,5,5,5,5,4,0,0,1
12505,Mrs. Lauren Powell,1," January 19, 1980",Business travel,Eco,1528,4,3,2,2,4,4,4,4,2,1,4,5,4,4,0,0,1
12764,Mrs. Dorothy Reid,0," February 23, 1999",Business travel,Eco,2729,2,3,3,2,3,2,3,3,5,1,5,4,1,3,1,0,0
16901,Miss Carol Davidson,1," September 24, 2003",Business travel,Business,1625,4,4,4,4,5,5,5,5,3,2,5,5,4,5,63,4.7,1
20831,Mrs. Karen Ross,1," June 8, 1974",Business travel,Business,318,1,1,1,1,4,4,4,5,5,5,5,3,5,5,0,0,1
10834,Miss Emma Dowd,1," October 2, 2004",Personal Travel,Eco,1697,4,4,4,4,4,5,4,4,4,5,4,3,4,3,0,0,1
16195,Mr. Cameron Peake,1," April 7, 1965",Personal Travel,Eco,1903,3,4,3,3,5,3,5,5,4,2,5,3,5,5,0,0,0
20291,Miss Alison Wilson,1," June 28, 1987",Personal Travel,Eco,3112,1,1,1,1,4,4,4,4,4,4,4,4,4,4,25,1,1
